office,district,votefor,candidate,party,votes,type,winner
GOVERNOR, ,1,SCOTT MILNE, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,2,Write-in,False
GOVERNOR, ,1,ALYCE AYER, ,1,Write-in,False
GOVERNOR, ,1,JOHN RODGERS, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,LEAHY, ,1,Write-in,False
GOVERNOR, ,1,STEVE DIGLIO, ,1,Write-in,False
GOVERNOR, ,1,JAMES EHLERS, ,1,Write-in,False
GOVERNOR, ,1,ROBERTA J. MAUNDER WELCH, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,2,Write-in,False
GOVERNOR, ,1,JOE WEST, ,0,Write-in,False
GOVERNOR, ,1,JOHN RODGERS, ,0,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,0,Write-in,False
GOVERNOR, ,1,SUE MINTER, ,0,Write-in,False
GOVERNOR, ,1,BILL LEE, ,1,Write-in,False
GOVERNOR, ,1,ETHAN SONNENBORG, ,1,Write-in,False
GOVERNOR, ,1,H BROOKE PAGE, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERNS, ,7,Write-in,False
GOVERNOR, ,1,DAVID ZUCKERMAN, ,1,Write-in,False
GOVERNOR, ,1,DON TURNER JR, ,1,Write-in,False
GOVERNOR, ,1,ETHAN SANBORN, ,1,Write-in,False
GOVERNOR, ,1,GEORGE CROWE, ,1,Write-in,False
GOVERNOR, ,1,KEITH STEARN, ,2,Write-in,False
GOVERNOR, ,1,RICK E, ,1,Write-in,False
GOVERNOR, ,1,TJ DONNOVAN, ,1,Write-in,False
GOVERNOR, ,1,JOHN RODGERS, ,0,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,0,Write-in,False
GOVERNOR, ,1,JANSSER WILLHOIT, ,0,Write-in,False
GOVERNOR, ,1,ANYA TYNIO, ,3,Write-in,False
GOVERNOR, ,1,JOHN RODGERS, ,1,Write-in,False
GOVERNOR, ,1,JOHN WAYNE, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,RICHARD LAWRENCE, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,0,Write-in,False
GOVERNOR, ,1,DOUG RACINE, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,2,Write-in,False
GOVERNOR, ,1,SAM LINCOLN, ,1,Write-in,False
GOVERNOR, ,1,KEITH STEARNS, ,1,Write-in,False
GOVERNOR, ,1,ANYA TYNIO, ,1,Write-in,False
GOVERNOR, ,1,ETHAN SONNEBORN, ,1,Write-in,False
GOVERNOR, ,1,JIM DOUGLAS, ,1,Write-in,False
GOVERNOR, ,1,TARA WARE\WICK, ,1,Write-in,False
GOVERNOR, ,1,JIM MALLOY, ,1,Write-in,False
